{'base_address': '0x400', 'raw': can.Message(timestamp=1673813241.8006058, arbitration_id=0x403, is_extended_id=False, channel='can0', dlc=8, data=[0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0]), 'MotorVelocity': 0.0, 'VehicleVelocity': 0.0}
{'base_address': '0x400', 'raw': can.Message(timestamp=1673813241.8406796, arbitration_id=0x403, is_extended_id=False, channel='can0', dlc=8, data=[0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0]), 'MotorVelocity': 0.0, 'VehicleVelocity': 0.0}
{'base_address': '0x400', 'raw': can.Message(timestamp=1673813241.880592, arbitration_id=0x403, is_extended_id=False, channel='can0', dlc=8, data=[0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0]), 'MotorVelocity': 0.0, 'VehicleVelocity': 0.0}
{'base_address': '0x400', 'raw': can.Message(timestamp=1673813241.9185867, arbitration_id=0x401, is_extended_id=False, channel='can0', dlc=8, data=[0x0, 0x0, 0x10, 0x0, 0x0, 0x0, 0x0, 0x0]), 'LimitFlags': 0, 'ErrorFlags': 16, 'ActiveMotor': 0, 'TxErrorCount': 0, 'RxErrorCount': 0}
{'base_address': '0x400', 'raw': can.Message(timestamp=1673813241.9196587, arbitration_id=0x402, is_extended_id=False, channel='can0', dlc=8, data=[0xe8, 0xf1, 0x4e, 0x41, 0x0, 0x0, 0x0, 0x0]), 'BusVoltage': 12.934059143066406, 'BusCurrent': 0.0}
{'base_address': '0x400', 'raw': can.Message(timestamp=1673813241.9205825, arbitration_id=0x403, is_extended_id=False, channel='can0', dlc=8, data=[0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0]), 'MotorVelocity': 0.0, 'VehicleVelocity': 0.0}
{'base_address': '0x400', 'raw': can.Message(timestamp=1673813241.9215884, arbitration_id=0x404, is_extended_id=False, channel='can0', dlc=8, data=[0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0]), 'PhaseCurrentB': 0.0, 'PhaseCurrentC': 0.0}
{'base_address': '0x400', 'raw': can.Message(timestamp=1673813241.922643, arbitration_id=0x405, is_extended_id=False, channel='can0', dlc=8, data=[0x20, 0xd3, 0xcf, 0x3d, 0x0, 0xd4, 0xad, 0x3b]), 'Vq': 0.10147690773010254, 'Vd': 0.005304813385009766}
{'base_address': '0x400', 'raw': can.Message(timestamp=1673813241.923665, arbitration_id=0x406, is_extended_id=False, channel='can0', dlc=8, data=[0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0]), 'Iq': 0.0, 'Id': 0.0}
{'base_address': '0x400', 'raw': can.Message(timestamp=1673813241.9246635, arbitration_id=0x407, is_extended_id=False, channel='can0', dlc=8, data=[0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0]), 'BEMFq': 0.0, 'BEMFd': 0.0}
{'base_address': '0x410', 'raw': can.Message(timestamp=1673813241.9315827, arbitration_id=0x417, is_extended_id=False, channel='can0', dlc=8, data=[0xff, 0xff, 0xc7, 0x42, 0x0, 0x0, 0x0, 0x0]), 'ReservedSlipSpeed': 99.99999237060547, 'SlipSpeed': 0.0}
